drug	disease	label
DB01064	C0004096	1
DB00935	C0009763	1
DB01144	C0038525	0
DB00389	C0020635	0
DB01173	C0242422	1
DB09241	C0011606	0
DB00934	C1328407	0
DB00286	C0001206	0
DB01242	C0150055	1
DB08936	C0271578	0
DB01270	C0242383	1
nemonapride	C0036341	1
DB00929	C0030920	1
DB06710	C1458155	1
DB00054	C0040053	1
epalrestat	C0150055	0
DB04844	C0149725	0
DB00389	C0018790	0
DB00277	C0034067	1
DB08941	C0022876	1
DB06655	C0017181	0
DB00587	C0346647	0
DB01118	C0024138	0
DB12863	C0042109	0
DB00916	C0036572	0
DB00946	C0542346	0
DB00374	C0034013	0
DB00405	C0010346	0
DB00290	C0278996	1
DB08877	C0015397	0
DB00640	C0035078	0
DB11699	C0027497	1
DB00668	C0017601	1
DB00451	C0020550	1
DB00880	C0020538	1
DB00028	C0040046	0
DB09030	C0040053	1
DB05265	C0017168	1
DB00279	C0020676	1
DB00655	C0025322	1
DB00866	C0003811	1
DB09053	C0018794	0
DB08911	C0376545	0
DB04572	C0019829	1
DB00601	C0014335	0
DB09053	C0079731	1
DB01173	C0026838	1
DB00694	C0023487	1
DB09128	C1269683	1
DB00643	C0007570	0
DB09026	C2718128	0
DB00399	C0949116	0
methylene-blue	C0268390	0
DB01260	C0870082	0
DB06237	C0079774	0
DB00030	C0014175	0
DB00541	C0008311	0
DB00139	C0007102	0
DB01429	C0022593	0
DB00620	C0003872	1
DB06176	C0079773	1
DB04846	C0009319	0
DB00575	C1263846	1
DB00950	C0018621	1
DB00437	C0003868	1
DB01229	C0024121	1
DB01099	C0007117	0
DB00099	C0221023	1
DB09029	C0017531	0
DB01198	C0005695	0
DB08875	C0025637	0
DB08896	C1527249	1
DB00161	C0020649	0
DB06168	C0003873	1
DB00848	C0009375	1
DB00548	C0035854	1
DB06719	C0205768	0
DB00531	C0014175	0
DB01277	C0014859	0
DB06774	C0149925	0
DB09270	C1408258	0
DB00695	C0022660	1
DB00379	C0001122	0
DB00020	C1458155	1
DB00393	C0019080	1
DB01366	C0023448	0
DB01143	C0278996	1
DB00428	C0346647	1
DB00339	C0041296	1
DB00531	C0002880	1
DB01171	C0011581	1
DB00424	C0013428	1
diphemanil	C0042875	0
DB00784	C0013390	1
DB04946	C0042384	0
chlorogenic-acid	C0001618	0
DB00715	C0028768	1
DB00013	C0018213	0
DB00052	C1336708	0
DB06439	C0024299	0
DB00987	C0002395	0
methylprednisolone-aceponate	C0009324	1
DB12082	C0029882	0
DB01183	C0030193	1
ipragliflozin-l-proline	C0401151	0
DB01047	C0036508	1
icatibant-acetate	C0002994	1
DB00443	C0040147	1
DB00143	C0003868	0
DB06292	C0035412	0
DB00223	C0015456	1
DB08818	C0015503	0
DB00964	C0017612	1
DB01062	C0029927	0
DB00095	C0007138	0
DB00882	C1956346	0
DB00990	C0238052	0
DB01380	C0033860	1
DB06216	C0015503	0
DB01001	C0018099	0
DB01005	C0002895	1
DB09221	C0017168	1
DB00200	C0026769	1
desmopressin-acetate	C0085159	0
DB01394	C0015967	1
DB00227	C0020476	1
DB06603	C0026764	1
DB09526	C0162834	1
flurbiprofen-(S)-(+)	C2937421	0
DB01364	C0018621	1
DB00139	C0162316	1
DB06688	C0376358	1
DB00653	C0011882	0
DB00821	C0030567	0
DB01168	C0024305	1
DB00204	C0154143	0
DB06335	C0036983	0
DB01215	C0027424	0
DB00963	C0036508	0
DB01270	C0038356	0
DB00441	C0018621	0
DB00860	C0001623	1
DB00860	C0035854	1
DB00405	C0343065	1
DB00514	C0010200	1
DB01708	C0024141	1
DB09213	C0025202	0
DB00741	C0036508	1
DB00515	C0030297	0
r(-)-apomorphine	C0021603	0
DB05271	C0030567	1
DB01380	C0039103	1
DB04880	C0009952	0
DB04878	C0017205	1
DB06479	C0034885	0
DB05260	C0020437	1
flurbiprofen-(S)-(+)	C0242973	0
DB01595	C0014550	1
psoralen	C0033860	1
DB09477	C0003873	1
DB00331	C0020456	1
DB01035	C0085612	1
DB06710	C0020619	1
DB00933	C0017160	0
DB00860	C0001403	1
DB00571	C0343065	0
DB01164	C0020598	1
benztropine-mesylate	C0030567	1
DB00748	C0020517	1
DB11598	C0026998	0
DB00457	C2242472	0
DB01278	C0020452	0
DB00350	C0038454	0
DB05099	C0220994	0
DB00788	C0013390	1
DB01182	C0042514	1
DB08806	C0038358	1
DB00904	C0042963	1
DB01070	C0028949	0
DB01234	C0023052	1
DB06702	C0281361	0
DB00436	C1961835	0
psoralen	C0042847	0
DB00443	C0011616	1
DB01177	C0023473	1
DB00148	C1961835	0
DB01156	C0311375	0
DB01340	C0020538	1
DB04866	C0870082	0
DB01309	C0020456	1
DB01021	C0041296	0
DB09331	C0151723	0
DB00544	C0007095	1
DB00863	C0030920	1
hydrocortisone-butyrate	C0009952	0
DB09271	C0042847	0
DB00288	C0039103	0
DB09215	C0220994	0
DB01064	C0042510	1
DB09037	C0007131	1
DB01397	C0039103	1
DB00531	C0023449	1
DB00585	C0023267	0
DB01201	C0013595	0
DB00282	C0026764	1
DB09213	C0003962	0
DB00860	C0011606	1
DB00211	C0020651	1
DB00117	C0035229	0
DB01185	C0020619	1
DB12523	C2239176	0
DB00320	C0037763	0
DB01071	C2607914	1
DB00357	C0010481	1
DB00252	C0038220	1
DB00247	C0311375	0
DB00720	C0029456	1
flopropione	C0037763	1
DB00993	C0009324	1
DB00420	C0042109	1
DB13345	C0036983	0
pralidoxime-chloride	C0542346	0
DB00377	C0022568	0
DB02925	C0949116	0
DB00288	C0011615	1
DB01246	C0027424	1
DB00679	C3544321	1
DB11619	C0020473	0
DB00860	C0042164	1
DB01628	C0343065	0
DB00776	C0013390	0
DB12833	C0013415	1
DB00403	C0085605	0
DB01114	C0343065	1
DB01024	C0034150	0
DB00389	C0018213	1
DB01291	C0006267	1
DB01081	C0014877	0
DB01591	C0014173	0
DB01098	C0003850	1
DB01016	C0042875	0
DB14006	C0019112	0
DB00193	C0030193	1
DB00535	C0036508	0
DB00921	C0011848	0
DB13783	C0017605	0
DB00443	C0037274	1
DB09283	C0917801	0
DB01327	C0040479	0
DB00713	C0149725	1
DB00154	C0020523	0
DB00450	C0042963	1
DB01041	C0007134	1
DB01128	C0376358	1
DB00395	C0027121	1
DB00437	C0018099	1
DB09185	C0036421	0
DB12523	C0042109	1
DB00073	C0024305	1
mofezolac	C0038454	0
DB00968	C0020538	1
DB00418	C0003467	0
DB09014	C0041296	0
DB00015	C0014556	0
DB01621	C0036323	0
DB09245	C0020651	0
DB02638	C0162316	0
DB01400	C0006267	0
DB08961	C0011606	0
DB01395	C0038358	0
DB06824	C0948216	0
DB00344	C0032227	0
DB01325	C0026769	0
DB01070	C0162836	0
DB00247	C0018681	1
DB00307	C0079731	0
DB06774	C0006287	0
DB00934	C0030569	0
DB00405	C0020517	1
DB01114	C0035457	1
DB01188	C0027796	0
DB01309	C0011849	1
DB00292	C0346647	0
DB00348	C0001973	0
DB00699	C0004153	1
DB00169	C0033860	1
DB06317	C0013264	0
DB00924	C0006625	0
dabigatran	C0085417	0
DB00152	C0026764	0
DB00033	C0036220	1
DB00441	C0022593	0
DB01063	C0022573	0
DB00007	C0021359	1
DB01348	C0020538	1
DB00713	C0014121	1
DB00313	C0002395	1
taltirelin	C0020598	0
DB00227	C0020443	1
DB06594	C0002395	0
DB00338	C0014869	1
DB06412	C0010417	0
DB00311	C0038454	0
DB00945	C0002965	1
DB08815	C0028738	0
DB00414	C0015469	0
clobetasone-butyrate	C0033860	1
DB04115	C0030590	0
DB00773	C0023467	1
DB00254	C0919267	0
DB09118	C0349464	0
DB00749	C0003873	1
DB00248	C0033375	1
DB00531	C0553580	1
DB00464	C0020517	0
levocarnitine-propionate	C0031117	1
DB01214	C0003811	1
DB01219	C0026838	1
DB06654	C0019156	0
DB00128	C0085096	0
DB00455	C0020517	1
DB08801	C1527304	1
DB06655	C0011860	1
DB00552	C0002871	1
DB00388	C0026961	1
DB01185	C0034012	1
DB00774	C0042164	0
DB00563	C0020217	1
DB00436	C0018801	1
DB00270	C0085580	1
DB00587	C0001618	0
DB13996	C0017563	0
DB01021	C0020538	1
DB06643	C0021359	0
DB01095	C0020474	1
DB12233	C0041341	0
DB09559	C0242973	0
DB01333	C0149725	1
DB09035	C0235480	0
DB00026	C0003873	1
dabigatran	C0017638	0
ephedrine-(racemic)	C0020615	0
DB00467	C0238463	0
DB00069	C0025202	1
DB11572	C0023449	0
DB06701	C0004775	0
DB00680	C0085612	1
DB00106	C2973725	0
DB13928	C0020456	1
DB01075	C0018681	1
haloperidol-decanoate	C0011848	0
DB11085	C0022593	1
DB00324	C0010043	1
DB00939	C0020545	0
DB00444	C0029191	0
DB00035	C0847614	0
fenigam	C0003467	1
DB03904	C0020757	1
DB00857	C0040261	1
DB08868	C0014836	0
DB01275	C0018802	1
DB06273	C0002395	0
DB00240	C0005586	0
DB11995	C0005138	0
DB01148	C0751674	0
DB01427	C0231528	0
DB06691	C2607914	1
DB00054	C0276226	0
DB05016	C0013264	1
DB12554	C0022104	1
DB00727	C0149925	0
DB08819	C0017612	1
DB00252	C0014544	1
DB00635	C0019829	1
DB01117	C0751753	0
DB01086	C0038363	1
DB00153	C0029458	1
DB00594	C0037930	0
DB00398	C0017601	0
DB00848	C0079774	0
DB11656	C0028840	0
ACT-132577	C2973725	1
DB06210	C0019080	1
DB01013	C0085605	0
DB06209	C0877792	0
DB01619	C0020481	0
DB00726	C0149704	0
DB00726	C0023472	0
DB00443	C0003872	1
DB00788	C0038013	1
DB00875	C0025323	0
DB00990	C1837475	0
DB00309	C0024299	1
DB00936	C0022593	1
DB01068	C0014550	1
fludrocortisone-acetate	C0038325	0
DB00024	C0038362	0
DB00741	C0023052	1
DB01364	C0917798	0
DB00244	C0023434	0
DB00627	C0020479	0
DB00875	C0000809	0
DB01623	C0559106	0
DB00505	C0004239	0
DB00741	C0038013	1
DB06736	C0033860	0
DB00946	C0020445	0
DB08816	C0038454	1
DB00188	C0334634	1
DB00612	C0006142	0
DB00799	C0015967	0
DB09030	C0001122	0
DB09119	C0311375	0
dabigatran-etexilate	C0034065	1
DB00869	C0152020	0
DB09118	C0014544	1
DB00801	C0016412	0
DB00782	C0030305	1
DB11136	C0268490	0
DB13179	C0032285	1
DB01409	C0008677	1
DB11757	C4083212	0
DB01195	C0003811	1
DB00635	C0024141	1
DB00515	C0005695	1
DB01366	C0920350	0
DB01059	C0033581	1
DB06650	C0042870	0
DB00854	C0030193	1
DB04842	C0392784	0
DB00644	C0027796	0
DB11157	C0000809	0
DB03619	C0028754	1
DB11324	C0014859	0
DB00940	C0005586	0
DB01047	C0003467	0
DB01149	C0004153	0
DB03852	C0008350	0
DB11675	C0017168	1
adiphenine	C0025202	0
DB01609	C0079774	0
DB09221	C0030920	1
DB00022	C0023443	1
DB11166	C0014474	0
DB00741	C0003872	1
DB00593	C0013386	0
DB00662	C0017160	1
DB01203	C0013144	0
DB11363	C0013238	0
DB00400	C0042870	0
DB00966	C0018802	1
tannic-acid	C0020514	0
DB09010	C0038363	0
DB00196	C0028734	0
DB01158	C0003811	1
DB09401	C1956346	1
DB08912	C0220983	0
DB01068	C0014553	1
DB00108	C0027708	0
DB00672	C0020456	1
DB00321	C0006114	0
DB00492	C0018802	1
DB00199	C0085669	0
DB00903	C0014868	0
DB01261	C0011860	1
DB09265	C0020443	0
DB00394	C0027430	1
DB05990	C0042164	0
DB03793	C0242422	0
DB09272	C0242488	0
dexamethasone-sodium-phosphate	C0002871	1
DB00493	C0034186	1
DB00655	C0025323	1
DB00427	C0040147	0
bucladesine	C0026838	0
DB13689	C0023472	0
DB09213	C0231528	0
DB06268	C0020542	1
DB01193	C0040147	0
DB00668	C0006267	1
DB00875	C0027819	0
DB00644	C0002453	1
DB00916	C2242472	1
DB08804	C0878787	1
DB00087	C0020676	0
DB00563	C0023449	1
DB03852	C0018213	0
DB00619	C0392784	1
DB03255	C0033774	1
DB08881	C0039621	0
DB00335	C0039240	1
DB01397	C0004604	1
DB01237	C0020217	0
DB00572	C0021775	0
carazolol	C0020625	0
psoralen	C0029134	0
DB00307	C0030848	0
DB00804	C0001418	0
DB00731	C0011849	1
DB06201	C0005138	0
DB01378	C0020676	0
DB00738	C0032285	1
DB08818	C0029408	1
DB00989	C0917805	0
DB00136	C0029456	1
DB08816	C0027051	1
DB00555	C0234974	1
DB09286	C0020626	0
DB04844	C0026650	1
DB00853	C1621958	1
DB01238	C1960397	0
DB01067	C0024138	0
DB01045	C0936215	0
DB01176	C0018621	1
DB00846	C0015456	1
DB08931	C0008311	0
DB00956	C0030193	1
DB00575	C0019080	1
DB01181	C0024305	1
DB00261	C0836924	1
DB00083	C2930898	1
DB00066	C0021361	1
DB01174	C0234974	1
DB04837	C0014549	0
diphemanil	C0024894	0
DB01106	C4048328	0
DB00162	C0702166	1
DB06292	C0001883	0
DB00651	C0023418	0
DB00281	C0220994	0
DB00154	C0162429	1
DB01165	C0034186	1
DB04572	C0024305	1
DB06217	C0003811	1
DB00496	C0008489	0
DB04894	C0013421	0
DB00773	C0027819	1
DB00190	C0006413	0
DB04840	C0022104	0
DB01325	C0027726	1
fluphenazine-decanoate	C0010054	0
sodium-tetradecyl-sulfate	C0018418	0
DB00477	C0027497	1
DB00277	C0004096	1
DB13943	C2316810	0
DB11635	C0011603	0
DB00044	C0036983	0
DB00915	C0030567	1
DB00427	C0011615	1
DB00349	C0238111	1
DB00232	C0042900	0
DB00699	C0024437	1
DB09109	C0024419	0
prednisolone-sodium-phosphate	C0026769	1
DB01214	C0409818	0
DB00241	C0149931	1
DB11632	C0149958	0
fluphenazine-decanoate	C1384600	0
DB01014	C0041582	1
DB01217	C1458155	1
DB01210	C0017601	1
DB04953	C0014544	1
DB00472	C0005587	1
DB01590	C0085605	0
DB02659	C0238052	1
DB06401	C0020428	0
DB00131	C0162429	1
DB01234	C0037274	1
DB00636	C0014556	0
DB01352	C0006287	0
DB00404	C0030319	1
DB00799	C0242383	0
DB00531	C0026948	1
DB00829	C0025637	0
DB01181	C0013384	0
DB01080	C0037769	1
DB00246	C0023212	0
DB00659	C0018681	0
DB00022	C0036920	1
DB05239	C0025202	1
DB00937	C0878787	0
clorprenaline	C0004096	1
DB01088	C0020542	1
DB01211	C0032285	1
DB00908	C0004238	1
DB00745	C0014175	0
DB00630	C0029458	1
DB02530	C0014544	1
DB00389	C0021670	0
DB00872	C1621958	0
DB01102	C0029443	0
DB01276	C0262584	0
DB00034	C0024437	1
DB01284	C0023052	0
DB00145	C0014877	0
DB01201	C0041296	1
DB08896	C0398623	0
DB01595	C0013295	0
DB06480	C0009806	1
DB00573	C3544321	0
ipragliflozin-l-proline	C0020676	0
DB01022	C0019087	1
DB04895	C0014859	0
DB08961	C0010068	0
DB01169	C0524620	0
DB01397	C0175683	0
DB01237	C0010200	1
DB00068	C0524910	1
DB01600	C0025294	0
DB00316	C0015967	1
DB06819	C0751753	1
DB00784	C0919267	0
DB00860	C0038013	1
DB06785	C0085631	0
DB09265	C0020479	0
DB00378	C0948089	0
diphemanil	C0037763	1
DB02659	C0009806	1
DB09082	C0024117	1
DB06739	C0014549	0
DB00235	C0042023	0
DB01009	C0019243	0
DB01216	C0270846	0
DB01228	C0004239	1
DB00515	C1336708	1
DB01396	C0018802	1
DB00411	C0012833	0
DB01016	C0026691	0
DB00411	C0085631	0
DB06702	C0085606	1
DB00131	C0015503	0
DB06264	C0004153	1
DB00584	C0020540	1
DB00975	C0079774	0
DB05266	C0038454	1
DB01174	C0149931	1
DB04465	C0024138	0
DB00312	C0149931	0
DB01246	C0002994	1
DB01088	C2316810	0
DB00678	C0428977	0
DB00252	C0014556	1
DB01005	C0042138	1
DB00385	C1527311	0
DB01041	C0010346	1
DB04572	C0024299	1
DB06754	C0036337	0
DB00302	C0376545	0
DB01588	C0008311	0
DB01296	C0020473	0
DB06754	C0035335	0
trelagliptin	C0013720	0
DB00504	C0032580	0
DB00139	C0878544	0
DB00825	C0038454	0
DB00811	C0023890	1
DB06714	C1394891	0
DB00759	C0702166	1
DB12836	C0002871	0
DB00295	C0030193	1
DB01590	C0008149	0
DB00034	C0023443	1
DB06292	C0011860	1
DB01082	C0017168	0
DB11660	C0037188	0
DB09235	C0233315	0
DB01240	C2607914	1
DB09146	C0021364	0
DB12364	C0346421	0
DB09185	C1261473	0
DB00364	C0032285	1
DB00132	C1527336	1
DB01018	C0042875	0
DB09089	C0011860	0
DB00585	C0014869	1
DB01041	C0740394	0
DB09108	C0019080	1
DB00777	C0021603	1
DB00034	C1849508	0
DB08879	C0024141	1
DB09230	C0020538	1
DB00668	C0019080	1
DB00936	C0004604	1
DB01133	C0023449	0
DB01616	C0022104	1
DB11675	C0033581	0
DB08604	C0021670	0
DB05265	C0596263	1
DB00283	C0042109	1
DB09279	C0013428	0
DB08882	C0022104	0
DB00768	C0036983	0
DB00262	C0006118	1
DB01063	C0085669	0
DB01393	C0745103	1
DB01164	C0011603	0
DB00997	C0023467	1
DB09068	C1269683	1
DB00311	C0031046	0
DB00997	C0026764	1
DB11581	C0013274	0
DB00022	C2239176	1
DB08885	C0027686	1
DB01126	C0001122	0
DB00949	C0020474	0
DB00200	C0346647	1
DB00020	C0017152	0
DB04106	C0015503	0
DB09282	C0282488	0
DB09271	C0039841	0
DB08818	C0006271	0
DB00783	C0085215	1
prednisolone-sodium-phosphate	C0020437	1
DB01412	C0004096	1
DB00561	C0024117	1
DB01166	C0022596	0
DB01320	C0015530	0
DB01396	C1134719	0
DB01261	C0020456	1
DB01031	C0917801	1
DB08806	C0011581	0
DB09078	C0149871	0
DB00384	C0013604	1
DB09167	C0270851	0
DB00710	C0029456	1
DB01246	C0011615	1
DB00679	C0023448	0
DB08899	C0559106	0
DB01260	C0011644	0
DB01101	C1458155	1
DB11994	C0022660	0
DB00936	C0029408	1
adrenalone	C0002453	0
DB01192	C0030193	1
DB06218	C0036572	1
DB00390	C0028326	0
DB00748	C1527304	1
DB00758	C0022104	0
DB00040	C0011849	1
DB00725	C0041582	1
DB00568	C0020517	1
DB12023	C0004096	1
DB01003	C0221013	1
DB00422	C0027404	1
DB00579	C0013390	0
DB00544	C0007102	1
DB01396	C0036980	1
DB09568	C0751967	0
DB06155	C0018099	0
DB00910	C0948896	0
DB00863	C0027662	0
DB00897	C0036830	0
DB00635	C0001627	1
DB00030	C0021655	1
DB00780	C0039483	0
DB06736	C0038013	1
DB00464	C0042345	1
DB01260	C0003578	0
DB08810	C2931618	0
DB00909	C0003469	0
DB00324	C0020517	1
DB00047	C0220756	0
DB00951	C0029443	0
DB04845	C0003578	0
DB00044	C0151714	0
DB04876	C0004238	0
DB00692	C0242350	1
DB00374	C0027051	0
DB00070	C0038013	0
DB08872	C0014544	1
DB06201	C0151744	0
DB00814	C0003873	1
DB09290	C0042963	1
DB12401	C0036341	1
DB01201	C0220994	0
DB00678	C0042164	0
DB00288	C0015456	1
DB00836	C0401151	1
strontium-ranelate	C0029456	1
DB01144	C0948216	0
DB09074	C0011849	0
DB00747	C0032027	0
DB00787	C1527336	0
DB00763	C0033860	1
DB00981	C0020649	1
DB00925	C0025322	0
DB05239	C0042029	0
DB01275	C0020542	1
DB00029	C0020456	0
DB01324	C0037763	0
DB08983	C0020473	1
DB00242	C0024305	1
DB00695	C0013604	1
SN-38	C1527249	1
DB00331	C0036830	0
DB13996	C0010692	0
DB01181	C1336708	1
DB00162	C0042842	1
DB00044	C0021361	1
DB01240	C0036421	1
DB09119	C0040015	0
nemonapride	C0036508	0
DB00744	C0149704	0
DB01013	C0036508	1
DB06196	C0699791	0
DB01228	C0020514	0
DB00773	C0018995	0
DB01577	C0025322	0
DB09488	C0018621	1
DB04942	C0023487	1
DB00397	C0012739	0
DB08901	C1960397	1
DB01698	C0003862	1
DB08910	C0026764	1
DB00637	C0221260	0
DB04932	C0085610	0
DB00928	C0002871	1
DB00541	C0024301	1
DB06775	C0268543	1
DB01171	C0006625	0
DB01366	C0042870	0
ipragliflozin-l-proline	C0011849	1
DB00744	C0001618	0
DB01237	C0268583	0
DB00783	C0029456	1
DB01129	C0043515	1
DB00873	C0020473	1
DB00388	C0281361	0
DB02772	C0011615	0
DB05294	C0007131	1
DB01351	C0014544	1
DB00820	C0029191	0
DB05630	C0042345	0
DB00373	C0029456	0
DB01183	C0036983	1
DB00563	C0038356	1
DB01029	C0011881	1
DB01045	C0025289	1
DB01166	C0014038	0
DB13152	C0019080	1
DB00046	C0011849	1
DB01597	C0031154	1
DB00916	C0031154	1
DB06650	C0023434	1
DB04854	C0740394	1
DB01067	C0206245	0
DB05777	C0878544	0
DB01206	C0027796	0
DB01059	C0010692	1
DB00809	C0022073	1
DB01214	C0017601	1
DB04924	C0003873	0
DB00106	C0017531	0
DB01009	C0008533	0
DB00552	C0010308	0
DB00221	C0004096	1
DB00151	C0002726	1
DB09389	C0025323	1
DB00808	C0018802	1
DB01203	C0002962	1
DB01397	C0015967	1
DB09559	C0917801	0
DB06764	C0037199	1
DB01195	C0036421	0
DB00535	C0026691	0
DB04846	C0007138	0
DB00641	C0020473	1
DB01333	C0032285	1
DB04967	C0149704	0
DB00218	C0034186	1
DB00588	C0020517	1
DB01623	C0376358	0
DB00719	C0016057	0
ephedrine-(racemic)	C0032000	0
DB01274	C0024117	1
DB00115	C0026769	1
DB00588	C0011616	1
DB00151	C0006267	1
fenigam	C0409818	0
DB11742	C0041948	0
DB00195	C0002994	0
DB09310	C0019080	1
DB00897	C0002395	0
DB06271	C0038160	0
DB00653	C0040479	1
dabigatran-etexilate	C0085612	0
DB00542	C0020459	0
DB00572	C0003811	1
DB01104	C0028768	1
DB01144	C0013384	0
DB00531	C0032027	0
DB09223	C1527311	0
DB00862	C0033806	0
DB01270	C0149704	0
clebopride	C0022593	0
DB00620	C0079773	1
etofylline	C0019054	0
DB00270	C0004238	0
DB01420	C0010417	1
DB03255	C0042345	1
DB00571	C0042510	1
DB00696	C0003128	0
DB00215	C0162834	0
DB01285	C0006105	0
DB01142	C0342881	0
diphemanil	C0021308	0
DB00335	C0042510	1
DB00630	C0085580	0
DB00530	C0346647	1
DB00607	C0038160	1
DB00264	C0520679	0
DB00302	C0151740	0
DB00586	C0013390	1
DB01212	C0013384	0
DB00038	C0023418	0
DB00279	C0040156	1
DB00201	C0030193	1
DB00415	C0025294	1
cyclosporin-a	C0042023	0
DB00792	C0042109	1
DB00054	C0338908	0
DB01624	C0005586	1
DB00308	C0004238	1
DB00450	C0027497	1
DB00419	C0002418	0
DB01128	C4083212	0
DB04552	C0231528	1
DB00654	C0011633	0
DB00905	C0006625	0
DB00755	C0042384	0
DB00635	C0003873	1
DB00391	C0006142	0
DB01017	C0085682	0
DB00635	C0024419	1
aminopentamide	C0398775	0
DB00800	C0023479	0
DB00635	C0079744	1
DB08801	C0016470	1
DB00917	C0000786	1
DB00970	C0027819	1
DB00123	C0542346	0
DB01128	C0241961	0
DB01203	C0027051	1
DB00514	C0040822	0
DB00308	C0007570	0
DB12863	C0042842	0
DB06243	C0020555	1
DB01092	C0004239	1
bucladesine	C0037299	1
DB00860	C0024299	1
DB01017	C0042029	1
DB01136	C0015397	0
DB01206	C0009375	1
DB00844	C0023437	0
DB05311	C0019243	1
DB00248	C0242422	1
DB00063	C0948089	1
DB00972	C2607914	1
DB00233	C0021390	1
DB11582	C0000786	0
DB00443	C0014742	1
DB11131	C0003864	1
DB01234	C0030807	1
DB00763	C0018021	1
DB00626	C0022568	1
DB01580	C0014170	0
DB00425	C2931618	0
DB06272	C0042870	1
DB09018	C0017168	1
DB01440	C0751362	1
DB00448	C0030920	1
DB00653	C0024473	1
DB00707	C0014859	1
DB05351	C0151744	0
DB08822	C0037930	0
DB05332	C0155862	0
DB01185	C2936781	1
DB06151	C0006267	1
DB00179	C0038356	0
DB09564	C0023480	0
DB01234	C0027726	1
DB08984	C0231528	1
DB01246	C0033774	1
DB01202	C0014544	1
DB01166	C0040053	1
DB00787	C0276226	1
DB01065	C0877792	1
DB01320	C0428977	0
DB08896	C0700201	0
DB00790	C0010068	1
DB00617	C0027708	0
DB00726	C0878787	0
DB00228	C0020428	0
DB00398	C0024301	0
DB00373	C0020538	1
DB09146	C0085681	1
DB01049	C0040261	0
DB00293	C0014544	0
DB03619	C0008149	0
cycloserine-(d)	C0029453	0
DB00620	C0024301	1
DB00694	C0023440	1
DB00206	C0013384	1
icatibant-acetate	C0162627	0
DB06702	C0009319	0
DB00637	C0042109	1
DB00254	C0037199	1
ethanolamine-oleate	C0026709	0
DB00177	C0242698	1
DB00843	C0006114	0
DB00513	C0022104	0
DB13689	C0020542	0
DB06211	C0034186	1
DB09371	C0014173	1
DB00373	C0018802	1
DB01019	C0028840	0
DB00798	C0030578	1
DB00544	C0278996	1
DB01229	C0017612	1
DB00443	C0036202	1
DB00392	C0268483	0
DB00897	C0021603	1
DB00342	C2607914	1
DB00394	C0014356	1
DB12783	C0031154	0
DB00946	C0034065	1
DB06697	C0856727	0
DB01065	C0376358	1
DB00624	C0020619	1
DB00366	C0018621	1
DB01181	C1140680	1
DB00648	C0008677	0
DB00722	C0040053	1
DB00390	C0018801	1
DB01001	C0008149	0
DB00281	C0003811	1
DB11582	C0026838	1
DB01174	C0241961	0
DB00083	C0027424	0
DB00661	C1527311	0
DB00673	C0042963	1
DB00987	C0023487	1
DB00764	C0948480	0
DB01076	C0020473	1
DB06151	C0032285	1
DB00443	C0021390	1
DB00571	C0020538	1
DB00248	C0016057	0
DB00300	C0017086	0
DB01195	C0030590	1
DB00025	C0022593	0
DB00420	C0027497	1
DB00115	C0149821	0
DB00285	C0006142	1
DB08836	C0018802	1
telotristat-ethyl	C1263846	0
DB01366	C0004096	1
DB00524	C0027726	1
DB00860	C0013604	1
DB01001	C0008677	1
DB00176	C0151723	0
DB00620	C0015230	1
DB00763	C0039483	0
DB00620	C0026948	1
DB00436	C0018802	1
DB04967	C0033806	0
DB01244	C0039685	0
DB01115	C1800706	0
DB00806	C0023437	0
DB01579	C0027819	0
DB06211	C0030569	0
DB01412	C0005697	0
DB01438	C1384600	0
DB00713	C0023518	0
DB01136	C0030848	0
DB01185	C0037930	0
DB00514	C0027424	1
DB01089	C0013421	0
DB02772	C0021655	0
DB00279	C0010308	1
DB00635	C0001623	1
DB01380	C0001623	1
DB01425	C0007194	0
DB09146	C0011633	0
DB01202	C0036572	1
DB03754	C0017605	0
DB00607	C0019156	0
DB00981	C0019243	0
DB01625	C0030920	1
DB05239	C0022660	0
DB00799	C0022593	1
DB00563	C0003873	1
DB00586	C0409959	1
DB00146	C0025149	0
DB00262	C0025149	1
DB01380	C0042164	1
DB00806	C0038454	1
DB01057	C0271093	1
DB00579	C0020473	1
DB06605	C0221260	0
DB09015	C0005424	0
DB00193	C0029408	1
DB00433	C0038013	0
DB01059	C0010068	0
DB00040	C0020615	1
DB00401	C1168401	0
DB00097	C0001973	0
DB04576	C1168401	0
DB01229	C0919267	1
DB06720	C1961835	1
DB00211	C0042024	1
DB00573	C0020517	0
DB01274	C0231528	0
DB00617	C0205768	0
DB00714	C0004096	0
DB00250	C0702166	1
DB00851	C0035412	1
icatibant-acetate	C0014867	0
DB08985	C0009763	0
DB00469	C0162565	0
DB01216	C0035258	0
DB09292	C0149821	0
DB00404	C0003467	1
DB09401	C0017168	1
DB01277	C0002736	1
DB06589	C0027497	0
DB08907	C0740394	0
DB02901	C0039621	1
DB00704	C0042487	0
DB00712	C0013390	1
DB01427	C0018802	1
olprinone	C0037286	0
DB01207	C0040053	1
DB05015	C0242350	0
DB06410	C0020503	1
DB06292	C0030569	0
DB11629	C0242339	1
DB06209	C0027051	1
DB00768	C0014836	0
DB01130	C0015456	1
DB09273	C0004096	1
vinburnine	C0038454	1
DB01234	C0009324	1
sodium-salicylate	C0023481	0
