node	type
146225	protein
10686	protein
57678	protein
64850	protein
5106	protein
10842	protein
158584	protein
2780	protein
11257	protein
8214	protein
8807	protein
4336	protein
3045	protein
10261	protein
64802	protein
27201	protein
51601	protein
3955	protein
4477	protein
55036	protein
3574	protein
51314	protein
2543	protein
84947	protein
2109	protein
7434	protein
55876	protein
4351	protein
79763	protein
140902	protein
55784	protein
25923	protein
10809	protein
10586	protein
7092	protein
50863	protein
26503	protein
9547	protein
84735	protein
10562	protein
10290	protein
11326	protein
4680	protein
7809	protein
5173	protein
56172	protein
192683	protein
3257	protein
79602	protein
26519	protein
7386	protein
6834	protein
10312	protein
C0015469	indication
27349	protein
4125	protein
51651	protein
10535	protein
4358	protein
6817	protein
2530	protein
29078	protein
10232	protein
8635	protein
1200	protein
2052	protein
80324	protein
55135	protein
26499	protein
1075	protein
8790	protein
221294	protein
23483	protein
3340	protein
7127	protein
1836	protein
7779	protein
9317	protein
2820	protein
83699	protein
80323	protein
5373	protein
29114	protein
10660	protein
84364	protein
9248	protein
55259	protein
7399	protein
26256	protein
219790	protein
22852	protein
5118	protein
7840	protein
27077	protein
55325	protein
161424	protein
148266	protein
27034	protein
11041	protein
57683	protein
27022	protein
57575	protein
25914	protein
26998	protein
51134	protein
686	protein
54768	protein
9786	protein
84876	protein
2055	protein
65267	protein
63924	protein
6288	protein
57817	protein
29058	protein
51734	protein
345	protein
2691	protein
23600	protein
54363	protein
196743	protein
23417	protein
23322	protein
241	protein
6540	protein
6522	protein
23074	protein
120	protein
4978	protein
150084	protein
221895	protein
137735	protein
153572	protein
285761	protein
90865	protein
151742	protein
23460	protein
10924	protein
3501	protein
1120	protein
3263	protein
23036	protein
23315	protein
4635	protein
6526	protein
51725	protein
149420	protein
54947	protein
83716	protein
66037	protein
151295	protein
144100	protein
116449	protein
27071	protein
157922	protein
7980	protein
118429	protein
9993	protein
2581	protein
726	protein
8857	protein
8714	protein
10806	protein
80034	protein
27328	protein
121256	protein
26799	protein
692088	protein
378938	protein
2815	protein
84752	protein
11167	protein
56128	protein
9536	protein
1763	protein
9745	protein
388585	protein
796	protein
55212	protein
9	protein
3578	protein
90952	protein
7032	protein
4045	protein
257194	protein
28952	protein
100137049	protein
8742	protein
1496	protein
9370	protein
5205	protein
23250	protein
161291	protein
64788	protein
C0028734	indication
64220	protein
8633	protein
79807	protein
387357	protein
4938	protein
152273	protein
85413	protein
50964	protein
64399	protein
1184	protein
8629	protein
23201	protein
8398	protein
121260	protein
59067	protein
5346	protein
51099	protein
4360	protein
8000	protein
23305	protein
84282	protein
23218	protein
54898	protein
79071	protein
51715	protein
116519	protein
C0020480	indication
219736	protein
51131	protein
8817	protein
79053	protein
11202	protein
27173	protein
2538	protein
26470	protein
7066	protein
4814	protein
84830	protein
5027	protein
6482	protein
2014	protein
55624	protein
57623	protein
954	protein
27283	protein
4337	protein
7365	protein
6821	protein
11132	protein
9783	protein
2710	protein
9583	protein
130	protein
968	protein
10555	protein
10057	protein
2302	protein
4889	protein
27087	protein
9719	protein
113	protein
368	protein
1056	protein
6700	protein
10308	protein
1241	protein
3373	protein
1292	protein
1670	protein
9308	protein
79689	protein
7364	protein
2998	protein
4519	protein
5244	protein
C0022354	indication
C0856727	indication
51554	protein
1593	protein
C0238052	indication
23461	protein
23443	protein
23729	protein
3549	protein
51090	protein
80271	protein
7869	protein
58189	protein
7730	protein
150000	protein
1908	protein
84870	protein
201475	protein
55808	protein
83943	protein
55572	protein
25976	protein
163702	protein
283120	protein
23671	protein
10085	protein
167691	protein
84648	protein
5273	protein
23395	protein
C0001883	indication
2658	protein
1522	protein
23731	protein
1690	protein
4126	protein
54414	protein
5662	protein
8438	protein
28	protein
23080	protein
6038	protein
11232	protein
3199	protein
8744	protein
25821	protein
6911	protein
147657	protein
210	protein
83940	protein
79068	protein
91039	protein
51292	protein
132789	protein
6905	protein
55206	protein
406884	protein
144568	protein
142685	protein
5314	protein
1826	protein
23432	protein
22868	protein
81501	protein
109	protein
5002	protein
953	protein
199	protein
23639	protein
10568	protein
6094	protein
407021	protein
64067	protein
146664	protein
2925	protein
51117	protein
5168	protein
9235	protein
83550	protein
55676	protein
4584	protein
54968	protein
161436	protein
6658	protein
23503	protein
318	protein
366	protein
3215	protein
685	protein
81792	protein
822	protein
946	protein
969	protein
C2936781	indication
1311	protein
9247	protein
C0018621	indication
1469	protein
8434	protein
22845	protein
2012	protein
2591	protein
56891	protein
2766	protein
2912	protein
2993	protein
84547	protein
353144	protein
10417	protein
339345	protein
9674	protein
23500	protein
57188	protein
140947	protein
54221	protein
83795	protein
5078	protein
5332	protein
5375	protein
6913	protein
170394	protein
80774	protein
7780	protein
11285	protein
6539	protein
50674	protein
91252	protein
91661	protein
6649	protein
114904	protein
245806	protein
7008	protein
7148	protein
26468	protein
9145	protein
58498	protein
10437	protein
27315	protein
55500	protein
54970	protein
54716	protein
137196	protein
55005	protein
65258	protein
80317	protein
80832	protein
169166	protein
140767	protein
169026	protein
146279	protein
1844	protein
51752	protein
2121	protein
54809	protein
677833	protein
55640	protein
2110	protein
6575	protein
90141	protein
6746	protein
53834	protein
8929	protein
2524	protein
7873	protein
8701	protein
81562	protein
285195	protein
5651	protein
84818	protein
4330	protein
2701	protein
643	protein
7425	protein
9582	protein
10518	protein
989	protein
64326	protein
144717	protein
55532	protein
5502	protein
79465	protein
30833	protein
63876	protein
30813	protein
55526	protein
131177	protein
135228	protein
349565	protein
54808	protein
51594	protein
29954	protein
133418	protein
9725	protein
21	protein
54503	protein
116150	protein
338324	protein
51114	protein
27127	protein
29801	protein
10195	protein
6509	protein
131965	protein
59344	protein
83546	protein
64077	protein
3113	protein
9953	protein
1506	protein
54584	protein
27136	protein
5179	protein
221079	protein
51128	protein
11010	protein
25789	protein
9394	protein
11249	protein
6443	protein
28755	protein
90139	protein
6309	protein
160364	protein
794	protein
10585	protein
282808	protein
55745	protein
2070	protein
6547	protein
25818	protein
9562	protein
90273	protein
242	protein
27241	protein
10678	protein
4969	protein
26090	protein
1775	protein
1186	protein
9681	protein
3423	protein
C0026705	indication
27294	protein
23780	protein
56776	protein
29929	protein
114899	protein
10082	protein
28982	protein
23590	protein
5806	protein
55600	protein
5428	protein
144811	protein
80264	protein
6533	protein
54886	protein
51098	protein
51360	protein
C0035854	indication
166378	protein
10559	protein
81849	protein
53947	protein
26507	protein
29985	protein
91543	protein
2294	protein
C0031190	indication
55630	protein
C0024523	indication
26050	protein
8710	protein
10161	protein
55507	protein
23230	protein
79783	protein
1116	protein
9487	protein
9333	protein
8869	protein
80723	protein
7480	protein
9210	protein
11005	protein
163486	protein
23245	protein
144577	protein
7782	protein
55959	protein
2650	protein
7903	protein
347735	protein
9573	protein
57128	protein
27159	protein
7473	protein
203062	protein
10225	protein
64756	protein
10875	protein
3696	protein
79944	protein
11024	protein
285848	protein
60558	protein
9034	protein
553158	protein
79730	protein
94233	protein
7941	protein
51151	protein
23274	protein
122416	protein
170589	protein
11234	protein
133	protein
1807	protein
55687	protein
27019	protein
117	protein
56311	protein
79822	protein
51555	protein
8549	protein
1103	protein
10279	protein
4624	protein
2173	protein
55612	protein
5625	protein
134829	protein
729238	protein
29901	protein
2953	protein
4482	protein
55783	protein
5922	protein
256536	protein
56606	protein
51062	protein
246778	protein
4061	protein
10858	protein
6569	protein
9687	protein
114788	protein
3000	protein
9496	protein
6341	protein
1290	protein
80326	protein
54465	protein
57084	protein
57194	protein
55129	protein
9197	protein
9538	protein
9731	protein
27324	protein
64167	protein
51524	protein
4324	protein
23247	protein
1591	protein
170302	protein
1303	protein
64321	protein
7262	protein
8492	protein
10144	protein
10347	protein
10631	protein
50640	protein
55830	protein
63982	protein
80114	protein
84519	protein
221035	protein
646960	protein
54436	protein
4825	protein
C0278996	indication
2304	protein
10371	protein
1293	protein
1769	protein
25878	protein
6690	protein
54756	protein
8456	protein
94234	protein
6847	protein
345611	protein
5341	protein
10861	protein
79924	protein
1961	protein
10911	protein
9481	protein
400916	protein
27235	protein
C0024586	indication
406950	protein
246744	protein
374569	protein
8822	protein
56547	protein
474	protein
338339	protein
2328	protein
55315	protein
C0019618	indication
406979	protein
100499467	protein
2259	protein
153020	protein
84981	protein
28232	protein
56145	protein
4861	protein
7093	protein
283450	protein
1010	protein
1118	protein
7476	protein
7252	protein
27121	protein
116285	protein
114826	protein
10512	protein
55721	protein
50846	protein
51294	protein
200942	protein
8530	protein
257	protein
8564	protein
118490	protein
125893	protein
23767	protein
7366	protein
729230	protein
83998	protein
2662	protein
55512	protein
2358	protein
6490	protein
10246	protein
10561	protein
221074	protein
51299	protein
3083	protein
80310	protein
3446	protein
1352	protein
4166	protein
55504	protein
53832	protein
347730	protein
53630	protein
1580	protein
412	protein
116844	protein
3425	protein
5816	protein
26253	protein
5446	protein
57526	protein
641372	protein
27013	protein
151556	protein
9420	protein
164395	protein
25794	protein
3982	protein
10840	protein
10462	protein
50507	protein
6555	protein
6664	protein
2327	protein
55343	protein
200315	protein
11181	protein
26281	protein
9668	protein
282617	protein
6425	protein
56623	protein
147906	protein
7287	protein
60674	protein
400931	protein
283131	protein
5032	protein
5820	protein
22904	protein
23169	protein
57537	protein
100303453	protein
51057	protein
10350	protein
10826	protein
22802	protein
50856	protein
149111	protein
54714	protein
8847	protein
3653	protein
6581	protein
10718	protein
11281	protein
23114	protein
59084	protein
79906	protein
83259	protein
164656	protein
374887	protein
400935	protein
606293	protein
406886	protein
406903	protein
406952	protein
406953	protein
574033	protein
574032	protein
406991	protein
407026	protein
407035	protein
407040	protein
407041	protein
407042	protein
407050	protein
406899	protein
406900	protein
406901	protein
406906	protein
406916	protein
406933	protein
406935	protein
406937	protein
406947	protein
406985	protein
406988	protein
406989	protein
406996	protein
407007	protein
554210	protein
406892	protein
285704	protein
57152	protein
844	protein
3209	protein
283463	protein
79191	protein
407975	protein
5455	protein
23562	protein
3492	protein
57369	protein
91937	protein
338398	protein
9348	protein
5652	protein
81031	protein
1834	protein
27255	protein
10216	protein
11019	protein
114784	protein
114795	protein
128611	protein
1375	protein
56999	protein
2334	protein
26266	protein
1305	protein
57724	protein
81552	protein
4585	protein
442721	protein
100507056	protein
114798	protein
169044	protein
9365	protein
6701	protein
10154	protein
460	protein
7512	protein
166752	protein
9940	protein
257106	protein
23544	protein
54209	protein
25802	protein
11173	protein
57030	protein
93659	protein
79625	protein
267012	protein
26154	protein
1286	protein
1767	protein
355	protein
999	protein
2316	protein
7292	protein
3596	protein
2056	protein
1233	protein
1237	protein
6346	protein
10803	protein
10850	protein
6369	protein
2921	protein
4485	protein
940	protein
8743	protein
4221	protein
8518	protein
56946	protein
84142	protein
4998	protein
4919	protein
C0035457	indication
C0036830	indication
3014	protein
4361	protein
11093	protein
151648	protein
4735	protein
5818	protein
6009	protein
2533	protein
7015	protein
6921	protein
3005	protein
C1394891	indication
2694	protein
83999	protein
284119	protein
156	protein
9215	protein
85236	protein
8661	protein
9049	protein
8314	protein
5071	protein
27123	protein
3012	protein
8970	protein
4155	protein
5311	protein
79991	protein
57103	protein
3099	protein
23237	protein
1401	protein
10399	protein
7468	protein
4141	protein
84864	protein
10395	protein
83939	protein
6303	protein
1440	protein
5187	protein
5774	protein
54463	protein
79137	protein
3098	protein
148738	protein
3006	protein
23284	protein
5859	protein
4520	protein
10087	protein
10743	protein
C0700201	indication
11067	protein
26128	protein
5995	protein
50619	protein
6342	protein
2273	protein
145270	protein
28957	protein
9711	protein
8358	protein
3655	protein
166	protein
5429	protein
4929	protein
7248	protein
1739	protein
2549	protein
126129	protein
9638	protein
7353	protein
8365	protein
6897	protein
7818	protein
5524	protein
8651	protein
51520	protein
8076	protein
10801	protein
5413	protein
8220	protein
831	protein
5800	protein
4247	protein
2132	protein
4481	protein
2645	protein
39	protein
5223	protein
23426	protein
7164	protein
5917	protein
3020	protein
5067	protein
3381	protein
2717	protein
8890	protein
23316	protein
3273	protein
90226	protein
8347	protein
10297	protein
514	protein
2529	protein
23111	protein
5521	protein
8339	protein
1490	protein
4281	protein
7367	protein
10948	protein
30816	protein
4014	protein
5981	protein
2171	protein
10207	protein
406921	protein
541471	protein
161582	protein
1482	protein
23658	protein
8315	protein
30061	protein
26585	protein
1843	protein
55752	protein
1005	protein
1267	protein
54704	protein
3008	protein
1823	protein
54360	protein
5961	protein
114131	protein
10476	protein
4118	protein
56301	protein
8302	protein
22953	protein
1622	protein
6319	protein
51330	protein
25861	protein
2922	protein
222537	protein
55219	protein
51733	protein
58510	protein
1758	protein
434	protein
4588	protein
9289	protein
1960	protein
8613	protein
55739	protein
11311	protein
5376	protein
C0751753	indication
3009	protein
4053	protein
6697	protein
2652	protein
3909	protein
27098	protein
8787	protein
157	protein
8611	protein
7200	protein
6901	protein
9723	protein
29997	protein
346288	protein
29091	protein
C2930898	indication
2277	protein
551	protein
C0021141	indication
3491	protein
5786	protein
755	protein
2979	protein
50604	protein
976	protein
2184	protein
C0268490	indication
6019	protein
1824	protein
10683	protein
54567	protein
3730	protein
4920	protein
114902	protein
6473	protein
54904	protein
5367	protein
84539	protein
55777	protein
1687	protein
3820	protein
415	protein
55829	protein
4295	protein
6578	protein
2646	protein
1611	protein
29949	protein
147381	protein
10752	protein
6101	protein
3060	protein
2693	protein
5010	protein
135152	protein
55130	protein
9095	protein
3972	protein
C0268543	indication
151647	protein
16	protein
5251	protein
4898	protein
2587	protein
6439	protein
414062	protein
4320	protein
255101	protein
246269	protein
10	protein
220972	protein
56666	protein
8811	protein
167465	protein
C0024473	indication
8128	protein
6102	protein
7976	protein
374920	protein
55765	protein
9705	protein
10893	protein
11262	protein
170680	protein
1015	protein
4327	protein
2981	protein
50506	protein
6416	protein
9043	protein
83737	protein
25929	protein
4077	protein
112970	protein
7408	protein
988	protein
7316	protein
7706	protein
6300	protein
1945	protein
56940	protein
9020	protein
322	protein
51776	protein
825	protein
58529	protein
51778	protein
91977	protein
90102	protein
220213	protein
54726	protein
54532	protein
29761	protein
26100	protein
57159	protein
283807	protein
83658	protein
1937	protein
55746	protein
8683	protein
10946	protein
1936	protein
93185	protein
6196	protein
23243	protein
1176	protein
55917	protein
56888	protein
9918	protein
4927	protein
5719	protein
5709	protein
9352	protein
129446	protein
165904	protein
171024	protein
84676	protein
84675	protein
9693	protein
23363	protein
23291	protein
28966	protein
112479	protein
253980	protein
8394	protein
339983	protein
3316	protein
4171	protein
4174	protein
27129	protein
51762	protein
2785	protein
51177	protein
285527	protein
135398	protein
55669	protein
5704	protein
56852	protein
6047	protein
55072	protein
54908	protein
6478	protein
9097	protein
64750	protein
7329	protein
339855	protein
5094	protein
84665	protein
89	protein
10529	protein
200539	protein
1659	protein
79961	protein
7514	protein
830	protein
51512	protein
7917	protein
9787	protein
63923	protein
9124	protein
8850	protein
22938	protein
8161	protein
11224	protein
55663	protein
4342	protein
6672	protein
27295	protein
79778	protein
84312	protein
285093	protein
4619	protein
4622	protein
4626	protein
7135	protein
10218	protein
26240	protein
51125	protein
83473	protein
124995	protein
29781	protein
5500	protein
53340	protein
6726	protein
255758	protein
54472	protein
79696	protein
7982	protein
54869	protein
117178	protein
57554	protein
29967	protein
158297	protein
125950	protein
54477	protein
22142	protein
2339	protein
4086	protein
8848	protein
57154	protein
25805	protein
23089	protein
92	protein
9958	protein
9392	protein
57655	protein
284996	protein
64801	protein
55611	protein
84125	protein
112609	protein
51293	protein
6997	protein
83452	protein
55761	protein
64284	protein
57111	protein
22800	protein
6233	protein
58473	protein
79674	protein
5865	protein
28512	protein
51560	protein
121268	protein
9482	protein
80349	protein
51285	protein
7311	protein
84085	protein
163	protein
55111	protein
23149	protein
3625	protein
51207	protein
9306	protein
3626	protein
284086	protein
55785	protein
93	protein
55622	protein
29984	protein
10477	protein
10713	protein
8073	protein
7410	protein
6773	protein
9667	protein
23521	protein
83607	protein
4673	protein
2342	protein
55738	protein
60385	protein
118461	protein
57669	protein
150864	protein
11156	protein
2633	protein
27033	protein
161882	protein
2648	protein
373	protein
2275	protein
2801	protein
4188	protein
54507	protein
122183	protein
125115	protein
386676	protein
386682	protein
6500	protein
83696	protein
51399	protein
79155	protein
388677	protein
79948	protein
6996	protein
4087	protein
9372	protein
26287	protein
904	protein
6722	protein
7341	protein
148581	protein
10524	protein
6304	protein
5434	protein
9443	protein
84105	protein
100316904	protein
440515	protein
23450	protein
3192	protein
5984	protein
51154	protein
9410	protein
6477	protein
27252	protein
54971	protein
7050	protein
6248	protein
9063	protein
6613	protein
6612	protein
266740	protein
10197	protein
10425	protein
5903	protein
26273	protein
29128	protein
1820	protein
283106	protein
2000	protein
1894	protein
54778	protein
9994	protein
5359	protein
84662	protein
1874	protein
29843	protein
29916	protein
442247	protein
10005	protein
3428	protein
79980	protein
9454	protein
9804	protein
11091	protein
25896	protein
26123	protein
57533	protein
79709	protein
81855	protein
92715	protein
140838	protein
146956	protein
342096	protein
100287932	protein
81631	protein
112939	protein
8237	protein
7289	protein
131377	protein
205860	protein
56270	protein
27237	protein
28513	protein
6708	protein
10346	protein
143384	protein
5093	protein
26036	protein
3840	protein
27335	protein
28960	protein
7158	protein
9656	protein
7014	protein
3646	protein
140691	protein
7156	protein
59343	protein
6118	protein
4999	protein
22944	protein
5001	protein
4172	protein
51280	protein
10980	protein
84060	protein
6176	protein
51003	protein
55791	protein
10813	protein
2547	protein
6117	protein
29935	protein
29946	protein
5893	protein
6119	protein
5883	protein
6039	protein
3364	protein
57697	protein
79443	protein
9557	protein
390502	protein
5557	protein
11100	protein
2965	protein
84461	protein
9512	protein
11164	protein
1982	protein
63910	protein
10241	protein
5202	protein
8125	protein
10095	protein
813	protein
51100	protein
7165	protein
51002	protein
4670	protein
54625	protein
170506	protein
22803	protein
3184	protein
55602	protein
80010	protein
124540	protein
7073	protein
10949	protein
83666	protein
304	protein
5814	protein
5985	protein
5936	protein
23543	protein
11051	protein
3182	protein
54915	protein
54464	protein
253943	protein
4841	protein
26512	protein
10432	protein
151636	protein
8939	protein
6175	protein
5725	protein
64761	protein
246243	protein
91607	protein
339122	protein
6129	protein
5872	protein
89777	protein
84284	protein
51441	protein
10658	protein
80004	protein
84126	protein
345651	protein
10657	protein
5878	protein
10521	protein
6203	protein
9554	protein
5861	protein
829	protein
26064	protein
23244	protein
4008	protein
54439	protein
10992	protein
6193	protein
9343	protein
10291	protein
23164	protein
63922	protein
58517	protein
3609	protein
64062	protein
4331	protein
10286	protein
11021	protein
9584	protein
6143	protein
6133	protein
122011	protein
10890	protein
55161	protein
64783	protein
55660	protein
26509	protein
5514	protein
65123	protein
57187	protein
10155	protein
9181	protein
22998	protein
250	protein
9793	protein
10592	protein
57805	protein
51474	protein
10960	protein
4430	protein
80335	protein
23307	protein
3608	protein
4343	protein
6711	protein
79228	protein
7916	protein
1660	protein
9476	protein
58490	protein
10492	protein
9416	protein
116092	protein
10067	protein
23350	protein
55720	protein
10885	protein
4076	protein
902	protein
79869	protein
5394	protein
2967	protein
5983	protein
6142	protein
55133	protein
22974	protein
162	protein
9532	protein
56987	protein
1022	protein
9879	protein
57222	protein
2976	protein
84172	protein
22913	protein
10051	protein
80145	protein
9320	protein
55339	protein
9114	protein
84310	protein
23242	protein
11083	protein
23234	protein
23644	protein
23344	protein
26173	protein
9643	protein
51585	protein
51552	protein
149224	protein
8467	protein
9984	protein
27332	protein
160	protein
161	protein
10523	protein
23016	protein
11340	protein
343069	protein
3185	protein
4542	protein
8761	protein
27043	protein
4659	protein
5870	protein
8241	protein
140801	protein
388344	protein
23248	protein
6189	protein
10856	protein
81929	protein
57466	protein
6601	protein
10915	protein
54881	protein
11169	protein
55596	protein
51663	protein
90850	protein
10075	protein
84268	protein
11198	protein
6749	protein
1069	protein
56941	protein
25764	protein
22832	protein
27023	protein
22887	protein
57695	protein
4773	protein
27343	protein
6815	protein
63948	protein
9040	protein
5977	protein
4176	protein
8318	protein
54962	protein
63967	protein
5884	protein
79892	protein
79968	protein
8766	protein
10618	protein
5531	protein
151987	protein
5558	protein
158078	protein
5810	protein
57562	protein
55183	protein
9322	protein
3556	protein
10401	protein
55250	protein
9111	protein
9646	protein
3227	protein
26039	protein
602	protein
64332	protein
1025	protein
80854	protein
30837	protein
636	protein
1891	protein
6717	protein
10240	protein
26354	protein
55753	protein
79710	protein
3096	protein
60491	protein
55578	protein
259	protein
9169	protein
10252	protein
23647	protein
58985	protein
153241	protein
51631	protein
84262	protein
27236	protein
54517	protein
64786	protein
6904	protein
23326	protein
2783	protein
10482	protein
566	protein
11269	protein
373159	protein
9338	protein
54014	protein
55231	protein
386675	protein
9261	protein
164091	protein
23637	protein
9047	protein
116211	protein
23001	protein
23528	protein
374899	protein
6452	protein
55509	protein
23148	protein
55916	protein
79230	protein
4332	protein
5049	protein
124149	protein
55582	protein
9209	protein
51438	protein
5971	protein
2615	protein
55633	protein
153364	protein
719	protein
5817	protein
65989	protein
25980	protein
55011	protein
81559	protein
64083	protein
54940	protein
132299	protein
29066	protein
286827	protein
57646	protein
11122	protein
7203	protein
9738	protein
51701	protein
4435	protein
168544	protein
163732	protein
90480	protein
3324	protein
23633	protein
9252	protein
1231	protein
6656	protein
55620	protein
387082	protein
7707	protein
23163	protein
26088	protein
84273	protein
51729	protein
1315	protein
22820	protein
164	protein
11316	protein
9266	protein
5898	protein
8925	protein
377	protein
64210	protein
113277	protein
23062	protein
85451	protein
10598	protein
5869	protein
378	protein
381	protein
26286	protein
908	protein
56681	protein
84725	protein
116986	protein
11060	protein
26469	protein
57410	protein
8853	protein
8943	protein
57584	protein
10972	protein
9267	protein
9135	protein
7805	protein
57617	protein
55823	protein
382	protein
11276	protein
729873	protein
23041	protein
26994	protein
54930	protein
200728	protein
51343	protein
9784	protein
26020	protein
4646	protein
64411	protein
10282	protein
54812	protein
9493	protein
1822	protein
320	protein
9546	protein
400	protein
6453	protein
6642	protein
8581	protein
3866	protein
57085	protein
80254	protein
83878	protein
84289	protein
114569	protein
115106	protein
27076	protein
56339	protein
528	protein
10196	protein
10802	protein
65985	protein
93343	protein
5214	protein
10190	protein
10434	protein
283209	protein
6993	protein
81570	protein
23640	protein
6603	protein
8906	protein
25804	protein
5976	protein
26019	protein
65110	protein
155465	protein
90113	protein
10254	protein
55127	protein
64847	protein
29952	protein
10300	protein
5425	protein
4123	protein
23585	protein
23524	protein
56913	protein
83854	protein
84279	protein
84975	protein
126792	protein
23468	protein
100505776	protein
64857	protein
149603	protein
23642	protein
100289574	protein
1777	protein
55802	protein
1797	protein
118460	protein
196513	protein
51013	protein
57520	protein
90507	protein
10189	protein
57062	protein
57545	protein
79598	protein
9851	protein
145508	protein
9662	protein
80817	protein
84902	protein
22981	protein
25886	protein
6491	protein
55835	protein
5700	protein
169714	protein
7690	protein
141	protein
407043	protein
56829	protein
167227	protein
54512	protein
23063	protein
23517	protein
65109	protein
92806	protein
23404	protein
529	protein
114884	protein
5710	protein
7013	protein
230	protein
79609	protein
11226	protein
51588	protein
3441	protein
57644	protein
548596	protein
1854	protein
387934	protein
51661	protein
3336	protein
8099	protein
23397	protein
92749	protein
51429	protein
64795	protein
26959	protein
997	protein
10614	protein
57721	protein
3795	protein
8789	protein
10513	protein
22883	protein
1601	protein
84570	protein
3831	protein
6464	protein
8883	protein
10307	protein
6418	protein
10273	protein
84447	protein
25827	protein
7532	protein
29979	protein
11076	protein
2039	protein
170082	protein
51334	protein
84081	protein
6156	protein
23168	protein
79733	protein
342527	protein
57606	protein
11345	protein
7881	protein
9470	protein
348825	protein
56943	protein
254268	protein
51123	protein
55803	protein
9371	protein
11333	protein
10635	protein
140290	protein
55303	protein
128061	protein
10827	protein
127733	protein
65997	protein
79657	protein
7528	protein
91272	protein
84969	protein
55319	protein
28989	protein
9550	protein
2002	protein
55388	protein
140597	protein
2257	protein
222171	protein
653784	protein
83707	protein
65008	protein
100505540	protein
5998	protein
84722	protein
3801	protein
57471	protein
142940	protein
374403	protein
127795	protein
23126	protein
51372	protein
79173	protein
80347	protein
10146	protein
29995	protein
143884	protein
118813	protein
55082	protein
79571	protein
1059	protein
146691	protein
158511	protein
79058	protein
53347	protein
220004	protein
126308	protein
8796	protein
80700	protein
9014	protein
151649	protein
51491	protein
51202	protein
90933	protein
148252	protein
10636	protein
10123	protein
65117	protein
57696	protein
84681	protein
257169	protein
51533	protein
91574	protein
399511	protein
219988	protein
84934	protein
89953	protein
2319	protein
4957	protein
10209	protein
55139	protein
10744	protein
79969	protein
285172	protein
79169	protein
10494	protein
4302	protein
5778	protein
8886	protein
7866	protein
54897	protein
55379	protein
752	protein
79739	protein
57820	protein
51616	protein
27301	protein
2037	protein
51503	protein
6741	protein
6224	protein
10455	protein
6895	protein
404220	protein
55599	protein
148932	protein
64981	protein
6953	protein
64837	protein
9825	protein
84726	protein
3937	protein
6835	protein
10078	protein
4636	protein
8896	protein
84851	protein
91050	protein
152877	protein
60370	protein
3622	protein
28987	protein
130535	protein
92092	protein
51759	protein
51101	protein
200765	protein
50809	protein
8666	protein
23313	protein
63932	protein
54440	protein
8416	protein
10248	protein
153769	protein
1397	protein
55617	protein
121457	protein
55144	protein
379	protein
26017	protein
79762	protein
64708	protein
55345	protein
200558	protein
64951	protein
51265	protein
90070	protein
26692	protein
27079	protein
84154	protein
84777	protein
91894	protein
55850	protein
64097	protein
284273	protein
8908	protein
83478	protein
57595	protein
79132	protein
7867	protein
1677	protein
8445	protein
4793	protein
84708	protein
6206	protein
7918	protein
2584	protein
6217	protein
57182	protein
4356	protein
79074	protein
2117	protein
92170	protein
10120	protein
139067	protein
282991	protein
2961	protein
9567	protein
57704	protein
133619	protein
10384	protein
55510	protein
1455	protein
11047	protein
25873	protein
11325	protein
154796	protein
6954	protein
84632	protein
119	protein
112950	protein
6456	protein
60682	protein
65992	protein
6171	protein
90441	protein
22826	protein
6668	protein
53349	protein
3983	protein
128153	protein
22862	protein
9196	protein
339448	protein
114885	protein
90624	protein
10943	protein
63915	protein
80820	protein
10458	protein
9092	protein
55168	protein
23179	protein
56894	protein
22882	protein
83931	protein
55701	protein
10573	protein
6878	protein
83657	protein
51056	protein
55156	protein
705	protein
63935	protein
9349	protein
84294	protein
51377	protein
51693	protein
140545	protein
83853	protein
127396	protein
84224	protein
55132	protein
57645	protein
79171	protein
9191	protein
56928	protein
28986	protein
89882	protein
80301	protein
1018	protein
7570	protein
6903	protein
27230	protein
9862	protein
51639	protein
9957	protein
29903	protein
150209	protein
554236	protein
4739	protein
10966	protein
51318	protein
54462	protein
29844	protein
29080	protein
65003	protein
7549	protein
135644	protein
57862	protein
57035	protein
414918	protein
5511	protein
257415	protein
27338	protein
10767	protein
64763	protein
84057	protein
6382	protein
55323	protein
55233	protein
51105	protein
29889	protein
9519	protein
55268	protein
375260	protein
56931	protein
22950	protein
80763	protein
284312	protein
160777	protein
84320	protein
51203	protein
25977	protein
51406	protein
134637	protein
169611	protein
51256	protein
84557	protein
84290	protein
55048	protein
56342	protein
84080	protein
5717	protein
79698	protein
27238	protein
10671	protein
5440	protein
991	protein
79629	protein
10933	protein
10514	protein
1500	protein
353513	protein
84317	protein
23623	protein
64591	protein
80724	protein
8823	protein
80071	protein
221711	protein
374659	protein
6205	protein
222166	protein
1119	protein
135138	protein
80111	protein
28971	protein
442523	protein
6780	protein
51018	protein
79886	protein
51574	protein
4832	protein
283337	protein
55346	protein
51535	protein
200185	protein
79656	protein
55907	protein
78994	protein
6164	protein
57179	protein
9270	protein
23617	protein
93380	protein
148281	protein
83856	protein
8233	protein
221150	protein
2620	protein
7529	protein
60686	protein
137994	protein
83983	protein
80018	protein
10929	protein
23119	protein
132851	protein
254295	protein
63941	protein
83879	protein
51078	protein
65979	protein
81545	protein
116985	protein
84193	protein
79175	protein
3050	protein
3898	protein
54934	protein
6827	protein
79149	protein
54108	protein
51247	protein
79447	protein
